0,Giants,Malik Nabers,Devin Singletary
1,Browns,Amari Cooper,Jerome Ford
2,Bears,DJ Moore,D'Andre Swift
3,Colts,Michael Pittman Jr.,Jonathan Taylor
4,Texans,Nico Collins,Dameon Pierce
5,Vikings,Justin Jefferson,Aaron Jones
6,Eagles,Davonte Smith,Saquon Barkley
7,Saints,Chris Olave,Alvin Kamara
8,Chargers,Keenan Allen,Austin Ekeler
9,Steelers,Diontae Johnson,Najee Harris
10,Broncos,Courtland Sutton,Javonte Williams
11,Buccaneers,Mike Evans,Rachaad White
12,Packers,Christian Watson,Josh Jacobs
13,Titans,DeAndre Hopkins,Tony Pollard
14,Panthers,Diontae Johnson,Miles Sanders
15,Raiders,Davante Adams,Zamir White
16,Dolphins,Tyreek Hill,Raheem Mostert
17,Seahawks,DK Metcalf,Zach Charbonnet
18,Lions,Amon-Ra St. Brown,Jahmyr Gibbs
19,Cardinals,Marvin Harrison Jr.,James Conner
20,Ravens,Zay Flowers,Derrick Henry
21,Cowboys,CeeDee Lamb,Rico Dowdle
22,49ers,Deebo Samuel,Jordan Mason
23,Rams,Demarcus Robinson,Kyren Williams
24,Chiefs,Rashee Rice,Isiah Pacheco
25,Falcons,Drake London,Bijan Robinson